"Категория";"Бренд";"Коллекция";"Описание";"Артикул";"наименование";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Бренд";"Тип";"Цвет";"Материал";"Цвет товара";"Количество предметов";"Объем";"Длина";"Ширина";"Высота";"Вес";"Состав набора";"Возраст ребенка";"Застежка";"Особенности модели";"Дополнительная информация";"Размер";"Наполнитель"
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Fragrance Jo";"Ledeme";;"Многоразовый флакон объемом 5 мл.<br>Отличаются высоким качеством исполнения. Уникальный дизайн и разнообразие цветов, удовлетворит потребности самого требовательного клиента.<br>В наличии флаконы 6 цветов: черного, зеленого, красного, коричневого, розового и белого.<br>Прочный корпус, надежная фиксация атомайзера внутри кожаного кофра.<br>Материал корпуса: экокожа<br>Материал флакона: акрил";"https://market.yandex.ru/product--atomaizer-dlia-parfiuma-kozhanyi-flakon-dlia-dukhov-5-ml/1767160802/spec?nid=18071784&show-uid=16833863430021714277916270&context=search&sku=101806331132&cpc=c7IaeYsncEWUmDo0x5NzXU2AwCuHRoOZSuUyoRRUBOmBrvAyBmHvxM9BOC6TYRIUrcgXcJrUKFccx6xYDU_CF0x9ZVy8uUXqC6jmk3tRda8S8krdQkTnBaitutb2FTxMxnVbC__lhz575EONSoEhfVigsdpkt-2mjWV-W7NUEL6al4sUPruSLHDqX72QdWK91MiF5JVKQnc%2C&do-waremd5=de6G798oWOXGGALsFgdj9g";"Атомайзер для парфюма кожаный/флакон для духов 5 мл";"https://avatars.mds.yandex.net/get-mpic/6336603/img_id4720786487753261768.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/6583032/img_id279237772584177085.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/6417556/img_id5084168380447642760.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5220188/img_id379884774200748022.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/6251774/img_id464454659814223223.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5316009/img_id1195183348377920317.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/7888310/img_id4440305740699412319.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4863739/img_id4966583316865794297.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5255974/img_id9162798994646319924.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/7716311/img_id9041589532608946456.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4615030/img_id6017101850511799268.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4055817/img_id161897388472949190.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5306939/img_id3270728788775591440.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/6214739/img_id3109042319924594102.jpeg/orig";;;;;;;"Fragrance Jo";"дорожный флакон";"черный";"акрил, экокожа";"черный";;"5 мл";;;;"0.1 кг";;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары из стекла";"Ledeme";;"Флакон для духов и парфюмерии 55 мл, подарочный.<br>Цвет флакона микс-черный, белый, красный, синий.";"https://market.yandex.ru/product--flakon-dlia-dukhov-i-parfiumerii-55-ml-podarochnyi/1778721228/spec?nid=18071784&show-uid=16833863430021714277916271&context=search&sku=101860120817&cpc=c7IaeYsncEXLt4s9JfLIpIPdKEJ7oRkw0lktwN-TJKHgA_ErzsuUG-xlwb5oEszk38zcPZYTqrFgZ1SZtn5fdrAoxkYHgFNBlpu3v_ARDRK64Ii_k3WNXMjTOasRC7vrj-FPEP_D3XcAxtABarXgLeQ1eHZ9XjgmsV19vc1ckfiS2U0UVYpFq2MkxGnA04fRMWBNZZv3tyd-2VK2xWLLl5Nz3zMxS66ZxEGFelh4GFD_EJnmuwKoV7ONvOcx_fwPSl-Inw0SqsW-6HdMm_3GQw%2C%2C&do-waremd5=7n3HDLo1m5GZL9vBinUBMw";"Флакон для духов и парфюмерии 55 мл, подарочный.";"https://avatars.mds.yandex.net/get-mpic/1901647/img_id886764127405211119.jpeg/orig";;;;;;;;;;;;;;;;;;;;"Не определен
китай";"дорожный флакон";;"стекло";;;"55 мл";;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Skata
Дорожные аксессуары мужские";"Ledeme";;"Флаконы с крышкой флип-топ 7 шт. по 100 мл предназначены для хранения различных жидкостей, антисептиков, косметических продуктов.<br>Многоразовый дорожный набор из 3, 5 или 7 флаконов с крышкой флип-топ пригодится Вам в путешествии, спортзале, командировке, походе, можно взять в ручную кладь в салон самолета, на работу, на дачу, в больницу, в роддом и многие другие места, где требуется небольшой объем. Предназначен для хранения различных жидкостей и пищевых продуктов, например бальзама, эликсира, сиропа, различных напитков и т. п. Идеально подойдет для косметических, парфюмерных, антисептических средств (шампуней, гелей для душа, жидкого мыла, крема, масла, кондиционеров, тоников). Компактный флакон не занимает много места в сумке. Крышка полностью герметична, что исключает испарение или проливание содержимого.<br>Удобство использования. Простота открывания/закрывания при минимуме усилий с вашей стороны, поскольку для их открывания задействуется лишь одна рука.<br>Крышка флип-топ сэкономит расход жидкости.<br>Флаконы многоразовые, легко моются и используются повторно, не впитывают запахи.<br>Флакон изготовлен из пластика PET - этот полиэтилен низкого давления является одним из наиболее безопасных, он поддаётся переработке.<br>Герметичный колпачок надежно фиксируется и защищает флакон от протекания.";"https://market.yandex.ru/product--flakon-s-kryshkoi-flip-top-7-sht-100-ml-dozator-nabor-dorozhnyi-kosmeticheskii-banochki-tiubiki-dlia-puteshestvii-v-roddom/1757610445/spec?nid=18071784&show-uid=16833863430021714277916272&context=search&sku=101777985624&cpc=c7IaeYsncEVku6ems9EAqKGIoGCTzSjAq-C9TfX7m9LMz85W-8Z-vW1XvXj3qjRLwljV8thfRciSxsQ1-r627iN72h_ERjeNt-pEJLzhNK2Lqkzfp_v709EpvhVJr4QDDAU1DF341kVPmIpsjMoPceWGaDvPsF8ZVIgZr0QkRwJHx2vCv7uUz4S2JlZWcfm4oXJe7IKtkSU%2C&do-waremd5=MfjHbSCzf4yhmxxkIgHkFQ";"Флакон с крышкой флип-топ 7 шт./ 100 мл / дозатор/ набор / дорожный / косметический / баночки/ тюбики / для путешествий / в роддом";"https://avatars.mds.yandex.net/get-mpic/5334770/img_id6817157479367500477.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5283489/img_id1632138701749942722.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4519349/img_id6891611542828880359.png/orig";"https://avatars.mds.yandex.net/get-mpic/4901324/img_id8686689669868739376.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5307434/img_id3150151436479450915.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4923482/img_id6097116568893377265.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4614113/img_id8529392947026109953.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4860193/img_id3342455963936079271.jpeg/orig";;;;;;;;;;;;;"Skata";"дорожный флакон";;;;"7 шт.";"100 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов";"Ledeme";;"Данный набор отлично подойдет что бы перелить из больших неудобных ёмкостей в меньшие или для оформления в общем стиле.<br>Каждая бутылочка(флакон) из твердого ПЭТ пластика. Многоразовая с кнопочным распылителем. Данный флакон (бутылка) после использования можно сдать на переработку.<br>Это отличный дорожный формат. Флакон в основном используют для парфюмерно-косметической продукции.<br>Можно использовать для:<br>антисептика, духов, лосьона, спрея, праймера, термозащиты и т. д.<br>Можно брать в:<br>путешествие, ручную кладь, поход, командировку, спортзал, больницу, на учебу, на работу, на дачу, даже же для роддома и многие другие места, где требуется небольшой объем и надежное хранение";"https://market.yandex.ru/product--flakon-priamougolnyi-belyi-s-knopochnym-raspylitelem-dlia-dukhov-losona-antiseptika-400ml-8-shtuk/1747632131/spec?nid=18071784&show-uid=16833863430021714277916273&context=search&sku=101718622710&cpc=c7IaeYsncEU6S7vbfiBUxYq9wd8oEt9cT0EKH_U0iMTwkR4xWSemOun5elOICCFP7sU8ypEkfSZADhSmNk9fXre3s9-rjyvphz8Pw5KWT5lLPH__ULu7dSCUgqDrSrIxvkoDebCMp-Ieg6CWsXVHbXA4dCPSjCkY1zvDofmAn6CSsaAV-OV-MvyBGQoWliOcGBZNjAY7fl4JKpTA4kReFte8R7fUHsQODl15KAYINm7RgKnZo4JJ6e_m1QSVEU5KqGtyXM3lvDMEGc9mPIoMWQ%2C%2C&do-waremd5=gXo6hv0yg7d9_xMiGmFDRA";"Флакон прямоугольный белый с кнопочным распылителем для духов, лосьона, антисептика - 400мл. (8 штук)";"https://avatars.mds.yandex.net/get-mpic/5232956/img_id8928275744868522207.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5238263/img_id121697007970283896.jpeg/orig";;;;;;;;;;;;;;;;;;;"ТАРА";"дорожный флакон";"белый";"пластик";"белый";"8 шт.";"400 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары МИРЕЯ и Ко";"Ledeme";;"Набор белых флаконов 50шт. с крышкой и дозатором.<br>Флаконы (бутылочки) пластиковые с крышкой и дозатором. Крышка закрывается герметично. Предназначен для хранения жидкостей.<br>Вместимость 10 мл.";"https://market.yandex.ru/product--flakony-50sht-butylochka-plastikovye-10ml-s-kryshkoi-i-dozatorom/1769809545/spec?nid=18071784&show-uid=16833863430021714277916274&context=search&sku=101817538746&cpc=c7IaeYsncEU5ZbeiuxjeUu6-Mnijkx1_TCTh4zOiM5zfZ9dmIPn7UgcbjuRetofAiN4H0UjCJnL4cgRfT-A8A4et71wm8pVGfSICrD5AfulMOOo7YHyFPPjQrtXBljl9PQhwDkyv_5dvlnnUR0jo3cCZDXWelQg4rZntR1wUZiobzO1egn38OjpetnuHinBFB4gsfzr8pQo%2C&do-waremd5=odYsNkm8wP3kFVJKUOYrHA";"Флаконы 50шт (бутылочка) пластиковые 10мл с крышкой и дозатором";"https://avatars.mds.yandex.net/get-mpic/6340948/img_id2993882116935253707.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5321517/img_id7238935769588951877.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4529531/img_id1828257691626410004.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4413406/img_id2314652111753629082.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5222168/img_id202129075205422963.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5032583/img_id7341206710888691710.jpeg/orig";;;;;;;;;;;;;;;"МИРЕЯ и Ко";"дорожный флакон";"белый";"пластик";"белый";"50 шт.";"10 мл";"7 см";"2 см";"7 см";"0.01 кг";;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов";"Ledeme";;"Набор кнопочных распылителей 100 шт. + 1 в подарок! для флаконов и бутылок с диаметром горловины 28мм. Длинна трубки 20 см. (при необходимости можно обрезать под любой размер)";"https://market.yandex.ru/product--raspyliteli-28-mm-belye-100-sht/1786301314/spec?nid=18071784&show-uid=16833863430021714277916276&context=search&sku=101874927422&cpc=c7IaeYsncEVb_pm4kLNabdy25Y_b2IQxRgOITAuRf4aylT1REBaJAh-POp6BVlP05YAMaEw94H0cq6zpPQwEbDirIibq3YSa4sotunS6aQopURc_JSp4hTuG2KUjk_r42hfmP9mrKaLNRb2wLnf92P7zKGTbSWhxYh2tMJqj8J2bsE1FkCZkuM8swWrP305yzpor4lMv1yw%2C&do-waremd5=wasLhlu2Wq6uh_fclBsf3g";"Распылители. 28 мм. Белые. 100 шт.";"https://avatars.mds.yandex.net/get-mpic/5238263/img_id7793350976393577255.jpeg/orig";;;;;;;;;;;;;;;;;;;;"Не определен
Топмаг";"дорожный флакон";"белый";;"белый";;;;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Florento";"Ledeme";;"тип: дорожный флакон, материал: пластик";"https://market.yandex.ru/product--dorozhnyi-flakon-florento/666298213/spec?nid=18071784&show-uid=16833863430021714277916275&context=search&sku=100941976137&cpc=c7IaeYsncEXWDmWOWPol7y4sLNp9bnendrL_U3RcL087HsQhBjPv-Xu6CO836Yhih9Wg_46BEzz61xcyOb52l8lx_4sm6YFIwTkINcAfh8q_DW0ijkvooPZTEUuOoEVw6Hb3xiEMd3mUxC1ySjLWAxfIjXS6mdvMW0Pa2XM_JqDsAYH4FQIpTgQDeh6zu0Iew4Pp62yIgKMBTTJPEWwU-UTZgwydn2d-HMQ9mDasia-OzKZ_Ts0VuJ8NTBNNg46bCvaew8JnVWA7e75PqLxNxg%2C%2C&do-waremd5=St-9LI_6Qgl3-KRafKo8MQ";"Дорожный флакон Florento, розовый";"https://avatars.mds.yandex.net/get-mpic/1715800/img_id6798127070744129585.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1729672/img_id377242028111587412.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1525999/img_id5869915512845798141.jpeg/orig";;;;;;;;;;;;;;;;;;"Florento";"дорожный флакон";"розовый";"пластик";;"5 шт.";;;;;;;;;;"объем флаконов: 45 мл - 2 шт., 35 мл - 1 шт., 10 мл - 2 шт.";;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары GREENEA";"Ledeme";;"Прозрачные прямоугольные мини флаконы 50 мл с черной крышкой капельницей – идеальный набор в дорогу, экономный выбор для организации пространства в доме и единый стиль для ванной. Комплект пластиковый: пустая бутылка, дозатор. Флаконы выполнены из ПЭТ – средней плотности и средней жесткости пластика. Дозатор, работает как пипетка, простым нажатием легко отмеряет каплями небольшое количество средства необходимого для однократного применения, к тому же служит защитой от протекания. Флакончики с дозатором для косметики многоразовые, удобны для хранения различных продуктов, а после использования можно сдать на переработку. Емкости с механическим диспенсером чаще применяют для крема, геля, эмульсии, сыворотки для лица, глаз; для эфирного масла (духов); масла для волос; эликсира, средств косметического ухода: взрослых и детских, также каплей для собак и кошек, в том числе жидкостей с высоким содержанием спирта, антисептиков, антибактериальных гелей, настоек, красителей, сигаретного масла, электронных жидкостей, е-сока, е-сигарет и пр. Маленькие бутылочки можно взять с собой в дорогу для путешествий, похода, командировки, отпуска, в самолет, поезд, спортивный зал, на работу, дачу, а также для роддома, больницы и многие другие места, где требуется небольшой объем, так как легко умещается в сумке, органайзере, чемодане. Обратите внимание, что данный дорожный формат контейнеров отлично подойдет для ручной клади. Косметические флаконы прекрасный вариант как для себя, так и в подарок для женщины, девушки, мужчины, парня, девочки, мальчика! Большое разнообразие выбора емкостей в магазине Greenea Pack позволит вам подобрать тару нужного объема (5 мл, 10 мл, 15 мл, 30 мл, 50 мл, 75 мл, 100 мл, 150 мл, 200 мл, 250 мл, 300 мл, 350 мл, 400 мл, 500 мл, 1000 мл), назначения и формы.";"https://market.yandex.ru/product--flakon-prozrachnyi-50-ml-s-kryshkoi-kapelnitsei/1813367086/spec?nid=18071784&show-uid=16833863430021714277916277&context=search&sku=101931063501&cpc=c7IaeYsncEUAH4pRHjW6NN0oM_hLr_2-dhEjAbnFcqAg03_6RCPThQfeO9zjC-IowvDKZvEpFYyve76iL0-3nBcN-V1TovZiyzIkYIfoop9-YfvJ1C8_nKWcjZwP-QtI3L_A0ZCT2pkGc0SwxyyQ_KlEdcrgJ2lfGWCBh5p_5mb81XGolVSDUzB_GNVu0CsR2TZeTx22KU_6a8eRDv25ZhM3v3R96kS72JUCp8_oL2sdh0aBxZsxHSsy0nuQCaF36x5NzxPOXSCiIljJ9HwEpw%2C%2C&do-waremd5=fF_sFnuV9SSjmv-IpmSdlw";"Флакон прозрачный 50 мл. с крышкой-капельницей, 10 шт.";"https://avatars.mds.yandex.net/get-mpic/7980765/img_id8169327861279334235.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1750207/img_id8145021178261575635.jpeg/orig";;;;;;;;;;;;;;;;;;;"GREENEA";"дорожный флакон";"бесцветный";"пластик";"10 шт.";"10 шт.";"50 мл";;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Dewal Beauty
Дорожные аксессуары голубого цвета";"Ledeme";;"Баночку можно использовать для шампуня, бальзама, средства для умывания, тоника, кремов и другой косметики. Оригинальная баночка в форме зверюшки удобна при перевозке всех необходимых косметических средств в достаточном количестве.<br>,Надежная герметичная крышка разработана так, что жидкости из баночки не будут вытекать. А мягкая форма баночки позволит легко выдавить содержимое до последней капли.<br>,Объем: 90 мл.";"https://market.yandex.ru/product--dorozhnyi-flakon-dewal-beauty/764681060/spec?nid=18071784&show-uid=16833863430021714277916278&context=search&sku=101113767879&cpc=c7IaeYsncEVl3AbEwJ9rI6MPA1hNy5If66Or3-e3xSC4psUrdWBW4FiLLxOdZ7hPuWkRieCuo3pwyK2rdJNSyRY3GSoaMltHIL-dS2D4JUnQON_LWzE6NDbpGJkKp4Fmsy7nMA6-6MjWxFkWhjE1-P-KuLW1Zkc0OvaL2QeMA-VoA_zioxIH3ntD8ujlAf68gawik4mQrdU%2C&do-waremd5=EqVkD9cq8imdqfRUslAh1A";"Дорожный флакон Dewal Beauty, 90, голубой";"https://avatars.mds.yandex.net/get-mpic/4012413/img_id2861494046431760809.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4304063/img_id6621746052932520567.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/2008455/img_id7131331056952335925.jpeg/orig";;;;;;;;;;;;;;;;;;"Dewal Beauty";"дорожный флакон";"голубой";"силикон";;;"90 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары DECO.";"Ledeme";;"Флакон-спрей дорожный - очень удобный в использовании, компактный и практичный. Имеет прочную, герметичную крышку. Подходит для многоразового использования.";"https://market.yandex.ru/product--flakon-dorozhnyi-deco-sprei-60-ml/1735779264/spec?nid=18071784&show-uid=16833863430021714277916279&context=search&sku=101644968048&cpc=c7IaeYsncEXl7m6SSvLuIVK0BuTrqE0PRA3AJAERr_TXQs7jAdKlKVbEmJecjpOAsOloS8b_OrQ0f3MVUWaOL9xZamxk3nidtxcGg3iU_GMI6KHjpKgFrG7ZnvVbZ6iiIKPZLOmbXXKvrEleHz1uY4OO2ZzmEQbVAgK2Pegb80bOrGCrhHajmeTl3pywEB_6RyXKWrQ1vic%2C&do-waremd5=OMMRjZUXMixHnRYHqfhaGw";"Флакон дорожный DECO. спрей 60 мл";"https://avatars.mds.yandex.net/get-mpic/5229821/img_id1023584110967948468.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5236885/img_id6702758434901352423.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5290046/img_id7851629443084310559.jpeg/orig";;;;;;;;;;;;;;;;;;"DECO.";"дорожный флакон";"белый";;"белый";;"60 мл";"5 см";"7 см";"19 см";"0.032 кг";;;;;;;
"Баночки для путешествий
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон 15 мл коричневого стекла с узким горлом (18/410) в комплекте с алюминиевой крышкой со стеклянной пипеткой. Предназначен для хранения различных жидкостей и косметических продуктов, такие как капли, настойка, краситель, сыворотка, эфирное масло и пр. Цена указана за набор из 10 штук.";"https://market.yandex.ru/product--flakon-15-ml-stekliannyi-s-kryshkoi-s-pipetkoi-nabor-10-shtuk/1757523652/spec?nid=18071784&show-uid=16833863430021714277916280&context=search&sku=101777233865&cpc=c7IaeYsncEWa-b8iBowRuxFzUfUWPRYzx9I3gHnwjp8e8ZTx3lpZ1VcdWQy_mcFjOrBwxF_Gg3IAcj4F7cHjBVpRQoQhXNzujvXpD0WFWXvtS0nIrZg-3AnA7RnL3gQNRK6V4gpUw0dFR7NQl3W9dzIX1n3gsgsouW7lf-xfTxvZeOIg96eiOauNnOQjH3HUd0Wn7DnNh36yFOlWig47HGQz44u2MzhpfnbEtgs5ttZqEThdZuCS1YNmlNp7Z3XenpbVb8pxEoLTAgxBpwzUdg%2C%2C&do-waremd5=fbzmUB3zOqK4UEModwGweg";"Флакон 15 мл стеклянный с крышкой с пипеткой. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/5031100/img_id7523814399063971976.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4589539/img_id9177232165130418381.jpeg/orig";;;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"коричневый";"металл, стекло";;"10 шт.";"15 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары GREENEA";"Ledeme";;"Данный набор отлично подойдет что бы перелить из больших не удобных ёмкостей в меньшие.<br>Каждая бутылочка ПЭТ , из средней плотности пластика. Многоразовые. С крышкой флип- топ. Данная бутылка после использования может быть сдана на переработку.<br>Это отличный дорожный формат. Флакон в основном используют для парфюмерно-косметической продукции. Бутылочки средней жесткости, что позволяет выдавливать содержимое.<br>Можно брать в:<br>путешествие, в поход, командировку, в спортзал, на работу, на дачу, под самоделки, даже же для роддома и многие другие места где требуется не большой объем.";"https://market.yandex.ru/product--dorozhnyi-flakon-greenea/1482134209/spec?nid=18071784&show-uid=16833863430021714277916281&context=search&sku=101924888750&cpc=c7IaeYsncEUiPrM1ljqOASnSjK-Ep9W6fSZvG5e5dOAgDvlMUXyz-CCOaAnv7Bm_kulgGwFZuFLNQ5L5IvM_WL8zXZ8CpfKtlT_y3RiKPUpPYewObW4g7z7Nc0D1n91SwCEfXg9XcOB9A9HcseCAawFTMI6IADLiMcXAAY_UL07r5Wo5Bl8xp_s1yD32d4MplHJVoYfrL3yw3P76ISp-VzhgL9D6GjxohkuPJzkmu5RA01f_vFt37qqiYS8dd0Z_uGdRLAYpuCEjEvPuHBGatg%2C%2C&do-waremd5=8GKDQEC1rBpw8Sns0_YV3Q";"Дорожный флакон GREENEA, 200, прозрачный/черный";"https://avatars.mds.yandex.net/get-mpic/4568822/img_id6222629004840573019.png/orig";"https://avatars.mds.yandex.net/get-mpic/4614113/img_id1086408061798231954.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5366650/img_id3998592274988657879.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/364668/img_id8962158226919837422.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1767151/img_id7776925719840256119.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1589815/img_id2398212302847097033.jpeg/orig";;;;;;;;;;;;;;;"GREENEA";"дорожный флакон";"бесцветный, черный";"пластик";;"4 шт.";"200 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон 100 мл опалового стекла с узким горлом (18/410) в комплекте с пластиковой крышкой с запорным конусом. Предназначен для хранения различных жидкостей и косметических продуктов, такие как капли, настойка, краситель, сыворотка, эфирное масло и пр. Цена указана за набор из 10 штук. Вес: 1100 гр. Упаковка: 210130210 мм.";"https://market.yandex.ru/product--flakon-100-ml-stekliannyi-opalovyi-s-plastikovoi-kryshkoi-nabor-10-shtuk/1496803117/spec?nid=18071784&show-uid=16833863430021714277916282&context=search&sku=101552302764&cpc=c7IaeYsncEWk1SFLJmpm2zt92DgqsL48IyvElTt61F79wtSSqU6YGr5gADeGxTCYjrDIQ91e7jEaamhKHgtINMIKO-yOJ8EX7XqNTCtnrkWCZW64fZDCMfy5Nw-0OxOBIPemX-uFiTXBoboYYF2pcZDEzpayFBuIjrDyQx8UkCad4EBpwQCI8zxF7w1aaYgpOOlS4Nk_Ye8%2C&do-waremd5=zD_-XPW_izHoNhBvJ6Ht8g";"Флакон 100 мл стеклянный опаловый с пластиковой крышкой. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/5220693/img_id7529737317686800576.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5307434/img_id9189415928156296610.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5312584/img_id4870444078738547980.jpeg/orig";;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"черный, белый";"стекло";;"10 шт.";"100 мл";;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары из стекла
Дорожные аксессуары мужские";"Ledeme";;"Флакон для парфюмерии Tomm 50 мл, цветное стекло.<br>Цвет флакона в ассортименте: красный, коричневый, оранжевый, синий, розовый, белый.<br>В комплекте 1 шт.";"https://market.yandex.ru/product--flakon-dlia-parfiumerii-tomm-50-ml-tsvetnoe-steklo/1811735928/spec?nid=18071784&show-uid=16833863430021714277916283&context=search&sku=101922686120&cpc=c7IaeYsncEWLtJBbgaemgY2c4py3-H7aaL-kQ_l8DQxpBsWM8ucx1qrizBdMMeCBP3on3EjOY03-UpCOCoL8kN1bD7AMg3TFnjxzOF-T3fozvF1s6tjmdGt3KUiAeM8oJ72zZKzJEEZG4C0K37vKiBjrqKuH1-7HvnOJtNCFWv6OgH4WUVW3xQb3DoYvKpqUyULMEW0QEQ09xegRoaDBwHBoydhufJL8MjCC_eIdfavUjxpp0fERh-Qjnh8fC0igqTh6QJz6rb7msJ646PmexQ%2C%2C&do-waremd5=p_FhLo7Z7jBaUvTajZ3n1g";"Флакон для парфюмерии Tomm 50 мл, цветное стекло.";"https://avatars.mds.yandex.net/get-mpic/4250892/img_id9042498464645370641.jpeg/orig";;;;;;;;;;;;;;;;;;;;"Не определен
китай";"дорожный флакон";;"стекло";;"1 шт.";"50 мл";"10 см";"4 см";"3.9 см";"0.05 кг";;;;;;;
